2024-10-15, FT, Serie B, Regular Season - 31, Guarani Campinas, CRB, 2, 1
2024-10-15, FT, CONCACAF Nations League, League B - 4, Haiti, Aruba, 5, 3
2024-10-15, FT, Primera Nacional, Regular Season - 36, Atlanta, Deportivo Madryn, 1, 1
2024-10-15, FT, CONCACAF Nations League, League A - 4, Jamaica, Honduras, 0, 0
2024-10-15, FT, CONCACAF Nations League, League A - 4, Trinidad and Tobago, Cuba, 3, 1
2024-10-15, FT, CONCACAF Nations League, League A - 4, Nicaragua, French Guyana, 3, 2
2024-10-15, FT, Liga MX Femenil, Apertura - 15, Santos Laguna W, Mazatlán W, 0, 0
2024-10-15, FT, Liga de Ascenso, Apertura - 15, Escorpiones Belén, Futbol Consultants Moravia, 3, 2
2024-10-15, FT, Primera A, Clausura - 14, Atletico Nacional, Envigado, 2, 1
2024-10-15, FT, Liga Panameña de Fútbol, Clausura - 13, Independiente de La Chorrera, Veraguas, 2, 4
2024-10-15, FT, Liga Premier Serie B, Apertura - 6, Cañoneros Marina, Calor de San Pedro, 1, 0
2024-10-15, FT, UEFA U17 Championship - Qualification, Round 1 - 3, Czech Republic U17, Germany U17, 3, 3
2024-10-15, FT, UEFA U17 Championship - Qualification, Round 1 - 3, Andorra U17, Belarus U17, 1, 3
2024-10-15, FT, Vysshaya Liga, Regular Season - 18, Khujand, CSKA Pomir, 5, 1
2024-10-15, FT, Vysshaya Liga, Regular Season - 18, Kuktosh, Ravshan, 0, 5
2024-10-15, FT, Liga Revelação U23, Regular Season - 5, Gil Vicente U23, Torreense U23, 1, 4
2024-10-15, FT, UEFA U17 Championship - Qualification, Round 1 - 3, Slovenia U17, Poland U17, 2, 2
2024-10-15, FT, UEFA U17 Championship - Qualification, Round 1 - 3, Armenia U17, Georgia U17, 1, 3
2024-10-15, FT, UEFA U19 Championship - Qualification, Qualifying Round - 2, Finland U19, Czech Republic U19, 2, 3
2024-10-15, FT, UEFA U19 Championship - Qualification, Qualifying Round - 2, San Marino U19, Switzerland U19, 0, 4
2024-10-15, FT, World Cup - Qualification Asia, 3rd Round - 4, Japan, Australia, 1, 1
2024-10-15, FT, World Cup - Qualification Asia, 3rd Round - 4, South Korea, Iraq, 3, 2
2024-10-15, CANC, Friendlies, Friendlies 2, Vietnam, Lebanon, None, None
2024-10-15, FT, UEFA U19 Championship - Qualification, Qualifying Round - 2, Poland U19, Turkey U19, 3, 0
2024-10-15, FT, UEFA U19 Championship - Qualification, Qualifying Round - 2, Gibraltar U19, Malta U19, 1, 2
2024-10-15, FT, CECAFA U20 Championship, Group Stage - 5, Sudan U20, Kenya U20, 0, 4
2024-10-15, FT, CECAFA U20 Championship, Group Stage - 5, Rwanda U20, Djibouti U20, 5, 1
2024-10-15, FT, UEFA U17 Championship - Qualification, Round 1 - 3, Croatia U17, Netherlands U17, 3, 1
2024-10-15, FT, UEFA U17 Championship - Qualification, Round 1 - 3, Faroe Islands U17, Albania U17, 0, 1
2024-10-15, FT, World Cup - Qualification Asia, 3rd Round - 4, China, Indonesia, 2, 1
2024-10-15, FT, Premier League, Regular Season - 9, Bhutan U19, Thimphu City, 1, 2
2024-10-15, FT, Friendlies, Friendlies 3, Hong Kong, Cambodia, 3, 0
2024-10-15, FT, Professional Development League, Regular Season - 10, Charlton Athletic U21, Ipswich Town U21, 2, 2
2024-10-15, FT, U20 Elite League, Group Stage - 2, Poland U20, Türkiye U20, 4, 2
2024-10-15, PST, State Cup, 2nd Round (Liga Bet), Maccabi Bnei Abu Snan, Bnei HaGolan VeHaGalil, None, None
2024-10-15, FT, Liga Alef, South - 7, Maccabi Shaarayim, FC Jerusalem, 0, 0
2024-10-15, FT, AFF Championship, Qualifying Round, Timor-Leste, Brunei, 0, 0
2024-10-15, FT, Paraense B1, 1st Phase - 6, Santos PA, Capitao Poco, 0, 0
2024-10-15, FT, Paraense B1, 1st Phase - 6, Pinheirense, Paragominas, 1, 1
2024-10-15, FT, Paraense U20, 1st Phase - 2, Comercial PA U20, Terra Alta U20, 3, 0
2024-10-15, FT, Liga Alef, South - 7, Maccabi Ashdod, Maccabi Yavne, 0, 1
2024-10-15, FT, Liga Alef, South - 7, Hapoel Lod, Agudat Sport Ashdod, 1, 2
2024-10-15, FT, Prva Liga, Regular Season - 11, Mladost Novi Sad, Semendrija 1924, 1, 0
2024-10-15, FT, Africa Cup of Nations - Qualification, Group Stage - 4, Lesotho, Gabon, 0, 2
2024-10-15, FT, Africa Cup of Nations - Qualification, Group Stage - 4, Sudan, Ghana, 2, 0
2024-10-15, FT, Africa Cup of Nations - Qualification, Group Stage - 4, Chad, Zambia, 0, 1
2024-10-15, FT, Africa Cup of Nations - Qualification, Group Stage - 4, Tanzania, Congo DR, 0, 2
2024-10-15, FT, Africa Cup of Nations - Qualification, Group Stage - 4, South Sudan, Uganda, 1, 2
2024-10-15, FT, Africa Cup of Nations - Qualification, Group Stage - 4, Malawi, Senegal, 0, 1
2024-10-15, FT, Professional Development League, Regular Season - 10, Fleetwood Town U21, Wigan Athletic U21, 2, 0
2024-10-15, FT, UEFA U17 Championship - Qualification, Round 1 - 3, Ukraine U17, Belgium U17, 1, 2
2024-10-15, FT, UEFA U17 Championship - Qualification, Round 1 - 3, Kazakhstan U17, Kosovo U17, 4, 4
2024-10-15, FT, UEFA U17 Championship - Qualification, Round 1 - 3, Denmark U17, Austria U17, 0, 1
2024-10-15, FT, Ligue 1, Regular Season - 3, Tshinkunku, Don Bosco, 0, 0
2024-10-15, FT, Ligue 1, Regular Season - 3, Panda B5, Lubumbashi Sport, 2, 0
2024-10-15, AWD, Ligue 1, Regular Season - 3, Groupe Bazano, Simba, 3, 0
2024-10-15, FT, Ligue 1, Regular Season - 3, Tanganyika, TP Mazembe, 0, 0
2024-10-15, FT, 3. liga - MSFL, MSFL - 7, Strání, Viktoria Otrokovice, 0, 7
2024-10-15, FT, UEFA U21 Championship - Qualification, Group H - 23, Bosnia-Herzegovina U21, Cyprus U21, 1, 3
2024-10-15, FT, World Cup - Qualification Asia, 3rd Round - 4, Kyrgyzstan, North Korea, 1, 0
2024-10-15, FT, World Cup - Qualification Asia, 3rd Round - 4, Uzbekistan, United Arab Emirates, 1, 0
2024-10-15, FT, 3. liga - CFL A, ČFL A - 6, Petřín Plzeň, Motorlet Praha, 3, 1
2024-10-15, FT, Cup, Regions Path - 5th Round, Amkar, Kompozit, 1, 0
2024-10-15, FT, Cup, Regions Path - 5th Round, FC UFA, Chernomorets, 0, 1
2024-10-15, FT, UEFA U21 Championship - Qualification, Group B - 23, Spain U21, Malta U21, 6, 0
2024-10-15, FT, UEFA U21 Championship - Qualification, Group D - 23, Estonia U21, Kosovo U21, 3, 1
2024-10-15, FT, UEFA U21 Championship - Qualification, Ranking of second-placed teams - 23, Poland U21, Germany U21, 3, 3
2024-10-15, FT, Liga Alef, South - 7, Nordia Jerusalem, Shimshon Tel Aviv, 1, 0
2024-10-15, FT, Liga Alef, South - 7, Hapoel Azor, Ironi Modi'in, 1, 3
2024-10-15, NS, Championnat National, Group B - 3, Etoile Filante, Sitatunga, None, None
2024-10-15, NS, Championnat National, Group B - 3, JSO, Avrankou Omnisport, None, None
2024-10-15, FT, UEFA U21 Championship - Qualification, Group B - 23, Belgium U21, Hungary U21, 0, 1
2024-10-15, FT, UEFA U21 Championship - Qualification, Group B - 23, Kazakhstan U21, Scotland U21, 3, 2
2024-10-15, FT, UEFA U21 Championship - Qualification, Ranking of second-placed teams - 23, Georgia U21, North Macedonia U21, 2, 1
2024-10-15, FT, UEFA U21 Championship - Qualification, Group D - 23, Israel U21, Bulgaria U21, 0, 1
2024-10-15, FT, UEFA U21 Championship - Qualification, Group E - 23, Albania U21, Armenia U21, 1, 0
2024-10-15, FT, UEFA U21 Championship - Qualification, Ranking of second-placed teams - 23, Romania U21, Switzerland U21, 3, 1
2024-10-15, FT, UEFA U21 Championship - Qualification, Group E - 23, Finland U21, Montenegro U21, 2, 1
2024-10-15, FT, UEFA U21 Championship - Qualification, Group G - 23, Andorra U21, Portugal U21, 1, 2
2024-10-15, FT, UEFA U21 Championship - Qualification, Group G - 23, Croatia U21, Greece U21, 3, 2
2024-10-15, FT, UEFA U21 Championship - Qualification, Group G - 23, Faroe Islands U21, Belarus U21, 1, 0
2024-10-15, FT, UEFA U21 Championship - Qualification, Group I - 23, Denmark U21, Iceland U21, 2, 0
2024-10-15, FT, UEFA U21 Championship - Qualification, Group I - 23, Czech Republic U21, Lithuania U21, 3, 0
2024-10-15, FT, Esiliiga A, Regular Season - 33, Paide II, Tallinna Kalev II, 1, 7
2024-10-15, FT, World Cup - Qualification Asia, 3rd Round - 4, Iran, Qatar, 4, 1
2024-10-15, FT, World Cup - Qualification Asia, 3rd Round - 4, Palestine, Kuwait, 2, 2
2024-10-15, FT, World Cup - Qualification Asia, 3rd Round - 4, Jordan, Oman, 4, 0
2024-10-15, FT, Africa Cup of Nations - Qualification, Group Stage - 4, Mauritania, Egypt, 0, 1
2024-10-15, FT, Africa Cup of Nations - Qualification, Group Stage - 4, Botswana, Cape Verde Islands, 1, 0
2024-10-15, FT, Africa Cup of Nations - Qualification, Group Stage - 4, Rwanda, Benin, 2, 1
2024-10-15, FT, Africa Cup of Nations - Qualification, Group Stage - 4, Niger, Angola, 0, 1
2024-10-15, FT, Africa Cup of Nations - Qualification, Group Stage - 4, Sierra Leone, Ivory Coast, 1, 0
2024-10-15, FT, Africa Cup of Nations - Qualification, Group Stage - 4, Guinea-Bissau, Mali, 0, 0
2024-10-15, FT, Africa Cup of Nations - Qualification, Group Stage - 4, Congo, South Africa, 1, 1
2024-10-15, FT, Liga Alef, South - 7, Maccabi Kiryat Malachi, Shimshon Kafr Qasim, 2, 0
2024-10-15, FT, UEFA U19 Championship - Qualification, Qualifying Round - 2, Latvia U19, Slovakia U19, 2, 0
2024-10-15, FT, UEFA U19 Championship - Qualification, Qualifying Round - 2, Luxembourg U19, North Macedonia U19, 1, 1
2024-10-15, FT, UEFA U21 Championship - Qualification, Group A - 23, Italy U21, Republic of Ireland U21, 1, 1
2024-10-15, FT, UEFA U21 Championship - Qualification, Group A - 23, Norway U21, Turkey U21, 5, 1
2024-10-15, FT, UEFA U21 Championship - Qualification, Group A - 23, San Marino U21, Latvia U21, 0, 3
2024-10-15, FT, UEFA U21 Championship - Qualification, Ranking of second-placed teams - 23, France U21, Austria U21, 1, 2
2024-10-15, FT, Landesliga - Wien, Wien - 5, Donau, Stadlau, 3, 0
